#tic_id,n_sectors,n_outbursts,n_flares,ampl_max,ampl_mean,fwhm_max,fwhm_mean,bol_energy_max,bol_energy_mean,M_CME_max,M_CME_mean,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm,duplicates
139825198,1,1,1,0.0043532702997381096,0.0043532702997381096,0.0010588126708620874,0.0010588126708620874,7.186898412167366e+33,7.186898412167366e+33,3.803671686962007e+20,3.803671686962007e+20,7.5626,7303.0,1.86902,4.11232,nan,0.406604,nan,0.406604,nan,nan,0,0,0,0
139841210,1,8,12,0.05197077767778308,0.014250739140019258,0.07340315816937157,0.02516471215406332,9.60139075983804e+35,1.4452340960473828e+35,8.223944513673169e+21,1.8431836136277038e+21,10.1011,5653.0,1.38133,4.15747,FGK,0.74446,nan,0.74446,-0.6039010141289968,20.303816074379473,0,1,1,0
139984208,1,5,6,0.08364852557128129,0.047846029124931654,0.010033246397915698,0.00452083779833089,9.461961137949144e+32,5.3802860607967645e+32,8.096007822903214e+19,6.0869051989976154e+19,12.0395,3231.0,0.40496,4.82211,M0-M4,1.05171,nan,1.05171,-1.6442747358725174,52.80470853814339,0,0,0,0
139990632,1,1,1,0.2750707340493005,0.2750707340493005,0.0028666512896589518,0.0028666512896589518,3.310369787934012e+32,3.310369787934012e+32,5.488643883325024e+19,5.488643883325024e+19,14.2673,3037.0,0.179235,5.10433,M4-M10,0.240481,nan,0.240481,nan,nan,0,0,0,0
139996019,1,8,9,0.061792902973373816,0.028811623500840083,0.01925308460973319,0.0060573316678020185,6.216327843919006e+33,2.89677617379233e+33,2.7563661010069914e+20,1.8722088887352862e+20,11.2686,3914.0,0.637377,4.61997,FGK,2.092465,nan,2.092465,-0.7513027882505742,24.235138144192117,0,0,0,0
140039144,1,1,1,0.005330738042939558,0.005330738042939558,0.011491802490193152,0.011491802490193152,6.959884956408511e+34,6.959884956408511e+34,1.7038175920345983e+21,1.7038175920345983e+21,8.5706,6209.0,1.86529,3.97212,FGK,1.1033,nan,1.1033,nan,nan,0,0,0,0
140045537,1,3,6,9.356561103154634,4.288279933351869,0.012433062853396367,0.004884224174650057,nan,nan,nan,nan,14.2381,nan,nan,nan,nan,1.123731,nan,1.123731,nan,nan,0,0,0,140045538
140045538,1,56,92,0.20655458905118398,0.017492679678049156,0.061307565353652727,0.008821911201939113,9.933722105384689e+33,8.004952985847002e+32,8.086417526266942e+20,6.974448767296742e+19,8.23083,3466.0,0.608233,4.64427,M0-M4,1.123731,nan,1.123731,-0.875532100608377,28.675041185753496,0,0,0,140045537
140069261,1,4,4,0.017871993782359437,0.010940541224381378,0.00565437398695223,0.0038773145324852527,nan,nan,nan,nan,9.4527,nan,nan,nan,nan,4.551111,nan,4.551111,nan,nan,0,0,0,0
140579674,1,2,2,0.02016523119891988,0.014953466523074659,0.00855747855246596,0.007973238661493699,1.3644315923627013e+34,1.115205681079926e+34,4.722906695497114e+20,4.554921397680848e+20,11.1707,5119.0,0.774437,4.59459,FGK,nan,nan,nan,nan,nan,0,0,0,0
140659980,1,2,2,0.012067786301149186,0.007671906311272304,0.014997781424789506,0.012325773948566371,1.0766984531785027e+35,7.481358434835544e+34,2.2021992460192658e+21,1.7343382347744244e+21,8.9849,5642.4,1.97128,3.84857,FGK,2.141699,nan,2.141699,nan,nan,0,0,0,0
